英文名,中文名,简称,外网价格,buff最低价格,最新价格,buff在售数量,饰品类型,比率
StatTrak™ Glock-18 | Blue Fissure (Battle-Scarred),格洛克 18 型（StatTrak™） | 蓝色裂纹 (战痕累累),格洛克 18 型（StatTrak™） | 蓝色裂纹,4.88,24.0,23.9,26.0,Pistol,4.918032786885246
StatTrak™ P250 | Steel Disruption (Field-Tested),P250（StatTrak™） | 钢铁禁锢 (久经沙场),P250（StatTrak™） | 钢铁禁锢,4.16,20.46,20.36,37.0,Pistol,4.918269230769231
MP9 | Food Chain (Factory New),MP9 | 爆裂食物链 (崭新出厂),MP9 | 爆裂食物链,11.16,54.89,54.79,199.0,SMG,4.918458781362007
P90 | Glacier Mesh (Factory New),P90 | 冰川网格 (崭新出厂),P90 | 冰川网格,25.0,122.98,122.48,18.0,SMG,4.9192
★ Karambit | Damascus Steel (Battle-Scarred),爪子刀（★） | 大马士革钢 (战痕累累),爪子刀（★） | 大马士革钢,821.03,4039.0,4038.5,12.0,Knife,4.919430471480945
★ Falchion Knife | Boreal Forest (Battle-Scarred),弯刀（★） | 北方森林 (战痕累累),弯刀（★） | 北方森林,120.44,592.5,592.0,22.0,Knife,4.9194619727665225
★ StatTrak™ Talon Knife | Crimson Web (Battle-Scarred),锯齿爪刀（★ StatTrak™） | 深红之网 (战痕累累),锯齿爪刀（★ StatTrak™） | 深红之网,463.46,2280.0,2279.5,5.0,Knife,4.919518405040349
M4A1-S | Welcome to the Jungle (Well-Worn),M4A1 消音型 | 冒险家乐园 (破损不堪),M4A1 消音型 | 冒险家乐园,823.2,4050.0,4049.5,37.0,Rifle,4.919825072886297
★ StatTrak™ Skeleton Knife | Urban Masked (Battle-Scarred),骷髅匕首（★ StatTrak™） | 都市伪装 (战痕累累),骷髅匕首（★ StatTrak™） | 都市伪装,383.14,1885.0,1884.5,11.0,Knife,4.919872631414105
SSG 08 | Hand Brake (Factory New),SSG 08 | 手刹 (崭新出厂),SSG 08 | 手刹,2.5,12.3,12.2,210.0,Sniper Rifle,4.92
