英文名,中文名,简称,外网价格,外网数量,buff最低价格,最新价格,buff在售数量,饰品类型,比率
M4A4 | Howl (Field-Tested),M4A4 | 咆哮 (久经沙场),M4A4 | 咆哮,4740.0,19.0,21840.0,21839.5,110.0,Rifle,4.6075949367088604
M4A4 | Tooth Fairy (Battle-Scarred),M4A4 | 齿仙 (战痕累累),M4A4 | 齿仙,4.5,1.0,20.74,20.64,180.0,Rifle,4.608888888888888
StatTrak™ UMP-45 | Primal Saber (Field-Tested),UMP-45（StatTrak™） | 野蛮剑齿虎 (久经沙场),UMP-45（StatTrak™） | 野蛮剑齿虎,4.99,1.0,23.0,22.9,130.0,SMG,4.609218436873747
Tec-9 | Toxic (Field-Tested),Tec-9 | 核子剧毒 (久经沙场),Tec-9 | 核子剧毒,3.75,1.0,17.29,17.19,118.0,Pistol,4.610666666666666
★ Talon Knife | Fade (Factory New),锯齿爪刀（★） | 渐变之色 (崭新出厂),锯齿爪刀（★） | 渐变之色,1756.34,11.0,8098.0,8097.5,229.0,Knife,4.6107245749684
Arno The Overgrown | Guerrilla Warfare,亚诺（野草） | 游击队,亚诺（野草） | 游击队,4.31,2.0,19.88,19.78,450.0,Agent,4.612529002320186
StatTrak™ Negev | Lionfish (Factory New),内格夫（StatTrak™） | 狮子鱼 (崭新出厂),内格夫（StatTrak™） | 狮子鱼,3.51,2.0,16.19,16.09,158.0,Machinegun,4.612535612535614
StatTrak™ SG 553 | Tiger Moth (Field-Tested),SG 553（StatTrak™） | 豹灯蛾 (久经沙场),SG 553（StatTrak™） | 豹灯蛾,1.99,1.0,9.18,9.17,185.0,Rifle,4.613065326633166
StatTrak™ XM1014 | Teclu Burner (Field-Tested),XM1014（StatTrak™） | 特克卢喷射者 (久经沙场),XM1014（StatTrak™） | 特克卢喷射者,1.94,2.0,8.95,8.94,118.0,Shotgun,4.61340206185567
StatTrak™ Tec-9 | Snek-9 (Factory New),Tec-9（StatTrak™） | 蛇-9 (崭新出厂),Tec-9（StatTrak™） | 蛇-9,2.28,3.0,10.52,10.42,54.0,Pistol,4.614035087719299
AUG | Death by Puppy (Well-Worn),AUG | 汪之萌杀 (破损不堪),AUG | 汪之萌杀,6.49,1.0,29.96,29.86,13.0,Rifle,4.6163328197226505
★ Falchion Knife | Fade (Factory New),弯刀（★） | 渐变之色 (崭新出厂),弯刀（★） | 渐变之色,373.88,1.0,1726.0,1725.5,222.0,Knife,4.616454477372419
M4A1-S | Hyper Beast (Field-Tested),M4A1 消音型 | 暴怒野兽 (久经沙场),M4A1 消音型 | 暴怒野兽,26.86,20.0,124.0,123.5,1057.0,Rifle,4.616530156366344
StatTrak™ Galil AR | Connexion (Factory New),加利尔 AR（StatTrak™） | 凤凰商号 (崭新出厂),加利尔 AR（StatTrak™） | 凤凰商号,4.44,1.0,20.5,20.4,113.0,Rifle,4.617117117117116
M249 | Nebula Crusader (Field-Tested),M249 | 星云十字军 (久经沙场),M249 | 星云十字军,1.62,9.0,7.48,7.47,209.0,Machinegun,4.617283950617284
★ Specialist Gloves | Field Agent (Battle-Scarred),专业手套（★） | 一线特工 (战痕累累),专业手套（★） | 一线特工,207.48,1.0,958.0,957.5,105.0,Gloves,4.617312512049354
AWP | Dragon Lore (Minimal Wear),AWP | 巨龙传说 (略有磨损),AWP | 巨龙传说,11560.0,1.0,53380.0,53080.31,117.0,Sniper Rifle,4.617647058823529
USP-S | Cyrex (Field-Tested),USP 消音版 | 次时代 (久经沙场),USP 消音版 | 次时代,1.78,61.0,8.22,8.21,1563.0,Pistol,4.617977528089888
StatTrak™ Glock-18 | Catacombs (Factory New),格洛克 18 型（StatTrak™） | 亡者之寝 (崭新出厂),格洛克 18 型（StatTrak™） | 亡者之寝,2.75,1.0,12.7,12.6,243.0,Pistol,4.618181818181818
★ Bayonet | Autotronic (Field-Tested),刺刀（★） | 自动化 (久经沙场),刺刀（★） | 自动化,675.42,1.0,3120.0,3119.5,124.0,Knife,4.619347961268544
★ Bowie Knife | Tiger Tooth (Factory New),鲍伊猎刀（★） | 虎牙 (崭新出厂),鲍伊猎刀（★） | 虎牙,292.12,2.0,1349.5,1349.0,87.0,Knife,4.619676845132138
SG 553 | Cyrex (Battle-Scarred),SG 553 | 次时代 (战痕累累),SG 553 | 次时代,4.63,13.0,21.39,21.29,47.0,Rifle,4.619870410367171
StatTrak™ USP-S | Cortex (Battle-Scarred),USP 消音版（StatTrak™） | 脑洞大开 (战痕累累),USP 消音版（StatTrak™） | 脑洞大开,5.08,1.0,23.47,23.37,169.0,Pistol,4.62007874015748
★ Karambit | Case Hardened (Field-Tested),爪子刀（★） | 表面淬火 (久经沙场),爪子刀（★） | 表面淬火,1142.47,2.0,5279.5,5279.0,166.0,Knife,4.621127907078523
★ StatTrak™ Butterfly Knife | Autotronic (Factory New),蝴蝶刀（★ StatTrak™） | 自动化 (崭新出厂),蝴蝶刀（★ StatTrak™） | 自动化,3090.0,2.0,14279.52,14279.02,4.0,Knife,4.621203883495146
AWP | Hyper Beast (Factory New),AWP | 暴怒野兽 (崭新出厂),AWP | 暴怒野兽,114.22,3.0,528.0,527.5,298.0,Sniper Rifle,4.622658028366311
StatTrak™ AK-47 | Nightwish (Minimal Wear),AK-47（StatTrak™） | 夜愿 (略有磨损),AK-47（StatTrak™） | 夜愿,123.62,1.0,571.5,571.0,241.0,Rifle,4.623038343310144
Galil AR | Chromatic Aberration (Minimal Wear),加利尔 AR | 迷人眼 (略有磨损),加利尔 AR | 迷人眼,5.19,5.0,24.0,23.9,896.0,Rifle,4.624277456647398
StatTrak™ Glock-18 | Catacombs (Minimal Wear),格洛克 18 型（StatTrak™） | 亡者之寝 (略有磨损),格洛克 18 型（StatTrak™） | 亡者之寝,1.6,1.0,7.4,7.39,221.0,Pistol,4.625
Glock-18 | Grinder (Minimal Wear),格洛克 18 型 | 粉碎者 (略有磨损),格洛克 18 型 | 粉碎者,1.92,11.0,8.88,8.87,609.0,Pistol,4.625000000000001
M4A1-S | Chantico's Fire (Minimal Wear),M4A1 消音型 | 女火神之炽焰 (略有磨损),M4A1 消音型 | 女火神之炽焰,51.89,35.0,240.0,239.5,622.0,Rifle,4.625168625939487
Dual Berettas | Twin Turbo (Field-Tested),双持贝瑞塔 | 双涡轮 (久经沙场),双持贝瑞塔 | 双涡轮,6.46,2.0,29.88,29.78,147.0,Pistol,4.625386996904025
PP-Bizon | Fuel Rod (Minimal Wear),PP-野牛 | 核燃料棒 (略有磨损),PP-野牛 | 核燃料棒,2.03,2.0,9.39,9.38,261.0,SMG,4.625615763546799
Galil AR | Dusk Ruins (Minimal Wear),加利尔 AR | 废墟黄昏 (略有磨损),加利尔 AR | 废墟黄昏,7.56,2.0,34.97,34.87,46.0,Rifle,4.625661375661376
AK-47 | Frontside Misty (Field-Tested),AK-47 | 前线迷雾 (久经沙场),AK-47 | 前线迷雾,19.32,15.0,89.41,89.31,1831.0,Rifle,4.627846790890269
StatTrak™ Desert Eagle | Bronze Deco (Factory New),沙漠之鹰（StatTrak™） | 青铜装饰 (崭新出厂),沙漠之鹰（StatTrak™） | 青铜装饰,3.07,1.0,14.21,14.11,824.0,Pistol,4.628664495114007
Glock-18 | Snack Attack (Minimal Wear),格洛克 18 型 | 零食派对 (略有磨损),格洛克 18 型 | 零食派对,7.95,1.0,36.8,36.7,327.0,Pistol,4.628930817610063
★ Shadow Daggers | Rust Coat (Battle-Scarred),暗影双匕（★） | 外表生锈 (战痕累累),暗影双匕（★） | 外表生锈,104.33,2.0,483.0,482.5,57.0,Knife,4.629540879900317
StatTrak™ MP9 | Food Chain (Well-Worn),MP9（StatTrak™） | 爆裂食物链 (破损不堪),MP9（StatTrak™） | 爆裂食物链,3.93,3.0,18.2,18.1,39.0,SMG,4.631043256997455
AK-47 | Phantom Disruptor (Battle-Scarred),AK-47 | 幻影破坏者 (战痕累累),AK-47 | 幻影破坏者,7.36,1.0,34.09,33.99,225.0,Rifle,4.63179347826087
StatTrak™ SSG 08 | Ghost Crusader (Minimal Wear),SSG 08（StatTrak™） | 幽灵战士 (略有磨损),SSG 08（StatTrak™） | 幽灵战士,5.72,2.0,26.5,26.4,191.0,Sniper Rifle,4.632867132867133
★ Sport Gloves | Nocts (Factory New),运动手套（★） | 夜行衣 (崭新出厂),运动手套（★） | 夜行衣,4940.0,19.0,22888.0,21847.93,10.0,Gloves,4.633198380566801
P90 | Vent Rush (Factory New),P90 | 给爷冲 (崭新出厂),P90 | 给爷冲,3.82,1.0,17.7,17.6,370.0,SMG,4.633507853403142
USP-S | Cyrex (Well-Worn),USP 消音版 | 次时代 (破损不堪),USP 消音版 | 次时代,2.46,15.0,11.4,11.3,30.0,Pistol,4.634146341463415
StatTrak™ AUG | Syd Mead (Battle-Scarred),AUG（StatTrak™） | 席德.米德 (战痕累累),AUG（StatTrak™） | 席德.米德,3.94,1.0,18.26,18.16,14.0,Rifle,4.634517766497463
★ Flip Knife | Gamma Doppler (Factory New),折叠刀（★） | 伽玛多普勒 (崭新出厂),折叠刀（★） | 伽玛多普勒,668.38,3.0,3098.0,3097.5,365.0,Knife,4.6350878242915705
★ Hand Wraps | Arboreal (Well-Worn),裹手（★） | 森林色调 (破损不堪),裹手（★） | 森林色调,104.63,1.0,485.0,484.5,51.0,Gloves,4.635381821657269
M4A1-S | VariCamo (Minimal Wear),M4A1 消音型 | 多变迷彩 (略有磨损),M4A1 消音型 | 多变迷彩,2.35,21.0,10.9,10.9,569.0,Rifle,4.638297872340425
★ M9 Bayonet | Bright Water (Field-Tested),M9 刺刀（★） | 澄澈之水 (久经沙场),M9 刺刀（★） | 澄澈之水,747.72,3.0,3468.5,3468.0,123.0,Knife,4.638768522976515
