英文名,中文名,简称,外网价格,外网数量,buff最低价格,最新价格,buff在售数量,饰品类型,比率
CZ75-Auto | Red Astor (Factory New),CZ75 | 红鹰 (崭新出厂),CZ75 | 红鹰,1.77,1.0,7.79,7.78,182.0,Pistol,4.401129943502825
★ Bloodhound Gloves | Bronzed (Field-Tested),血猎手套（★） | 染铜 (久经沙场),血猎手套（★） | 染铜,98.22,1.0,432.3,431.8,106.0,Gloves,4.401343921808186
SG 553 | Dragon Tech (Factory New),SG 553 | 青龙 (崭新出厂),SG 553 | 青龙,3.96,1.0,17.43,17.33,805.0,Rifle,4.401515151515151
StatTrak™ M4A1-S | Night Terror (Minimal Wear),M4A1 消音型（StatTrak™） | 夜无眠 (略有磨损),M4A1 消音型（StatTrak™） | 夜无眠,6.02,62.0,26.5,26.4,421.0,Rifle,4.401993355481728
★ Specialist Gloves | Emerald Web (Field-Tested),专业手套（★） | 翠绿之网 (久经沙场),专业手套（★） | 翠绿之网,921.82,2.0,4058.0,4057.5,290.0,Gloves,4.402160942483348
Glock-18 | Wasteland Rebel (Minimal Wear),格洛克 18 型 | 荒野反叛 (略有磨损),格洛克 18 型 | 荒野反叛,6.85,3.0,30.16,30.06,532.0,Pistol,4.402919708029198
★ Driver Gloves | Queen Jaguar (Field-Tested),驾驶手套（★） | 美洲豹女王 (久经沙场),驾驶手套（★） | 美洲豹女王,136.0,1.0,598.9,598.4,458.0,Gloves,4.403676470588235
StatTrak™ Dual Berettas | Dezastre (Field-Tested),双持贝瑞塔（StatTrak™） | 灾难 (久经沙场),双持贝瑞塔（StatTrak™） | 灾难,3.02,2.0,13.3,13.2,108.0,Pistol,4.403973509933775
Dual Berettas | Flora Carnivora (Battle-Scarred),双持贝瑞塔 | 食人花 (战痕累累),双持贝瑞塔 | 食人花,0.99,28.0,4.36,4.35,399.0,Pistol,4.404040404040404
★ Paracord Knife | Crimson Web (Factory New),系绳匕首（★） | 深红之网 (崭新出厂),系绳匕首（★） | 深红之网,3200.0,5.0,14100.0,13667.5,2.0,Knife,4.40625
StatTrak™ Five-SeveN | Violent Daimyo (Factory New),FN57（StatTrak™） | 霸意大名 (崭新出厂),FN57（StatTrak™） | 霸意大名,2.7,1.0,11.9,11.8,142.0,Pistol,4.407407407407407
StatTrak™ MP9 | Food Chain (Field-Tested),MP9（StatTrak™） | 爆裂食物链 (久经沙场),MP9（StatTrak™） | 爆裂食物链,5.76,1.0,25.4,25.3,222.0,SMG,4.409722222222222
StatTrak™ Glock-18 | Snack Attack (Battle-Scarred),格洛克 18 型（StatTrak™） | 零食派对 (战痕累累),格洛克 18 型（StatTrak™） | 零食派对,8.88,1.0,39.16,39.06,39.0,Pistol,4.409909909909909
SSG 08 | Turbo Peek (Minimal Wear),SSG 08 | 速度激情 (略有磨损),SSG 08 | 速度激情,8.34,1.0,36.78,36.68,344.0,Sniper Rifle,4.410071942446043
★ StatTrak™ Butterfly Knife | Crimson Web (Minimal Wear),蝴蝶刀（★ StatTrak™） | 深红之网 (略有磨损),蝴蝶刀（★ StatTrak™） | 深红之网,2800.0,16.0,12350.0,12349.5,30.0,Knife,4.410714285714286
StatTrak™ R8 Revolver | Reboot (Field-Tested),R8 左轮手枪（StatTrak™） | 重新启动 (久经沙场),R8 左轮手枪（StatTrak™） | 重新启动,2.24,1.0,9.88,9.87,258.0,Pistol,4.410714285714286
UMP-45 | Wild Child (Field-Tested),UMP-45 | 野孩子 (久经沙场),UMP-45 | 野孩子,16.75,9.0,73.88,73.78,186.0,SMG,4.410746268656716
★ StatTrak™ M9 Bayonet | Fade (Factory New),M9 刺刀（★ StatTrak™） | 渐变之色 (崭新出厂),M9 刺刀（★ StatTrak™） | 渐变之色,2037.61,23.0,8989.0,8988.5,43.0,Knife,4.411540972021142
Tec-9 | Fuel Injector (Field-Tested),Tec-9 | 燃料喷射器 (久经沙场),Tec-9 | 燃料喷射器,3.74,5.0,16.5,16.4,1132.0,Pistol,4.411764705882352
MP9 | Mount Fuji (Minimal Wear),MP9 | 富士山 (略有磨损),MP9 | 富士山,4.59,5.0,20.25,20.15,1230.0,SMG,4.411764705882353
AUG | Arctic Wolf (Field-Tested),AUG | 极地孤狼 (久经沙场),AUG | 极地孤狼,2.28,15.0,10.06,9.96,622.0,Rifle,4.412280701754386
AK-47 | Slate (Field-Tested),AK-47 | 墨岩 (久经沙场),AK-47 | 墨岩,4.35,121.0,19.2,19.1,14023.0,Rifle,4.413793103448276
AK-47 | Uncharted (Factory New),AK-47 | 迷踪秘境 (崭新出厂),AK-47 | 迷踪秘境,2.15,22.0,9.49,9.49,687.0,Rifle,4.413953488372093
★ Sport Gloves | Vice (Field-Tested),运动手套（★） | 迈阿密风云 (久经沙场),运动手套（★） | 迈阿密风云,2194.84,6.0,9690.0,9689.5,1219.0,Gloves,4.414900402762844
P250 | Supernova (Factory New),P250 | 超新星 (崭新出厂),P250 | 超新星,1.71,16.0,7.55,7.54,945.0,Pistol,4.415204678362573
Desert Eagle | Trigger Discipline (Factory New),沙漠之鹰 | 后发制人 (崭新出厂),沙漠之鹰 | 后发制人,4.28,18.0,18.9,18.8,1273.0,Pistol,4.415887850467289
M4A4 | Neo-Noir (Factory New),M4A4 | 黑色魅影 (崭新出厂),M4A4 | 黑色魅影,54.23,3.0,239.5,239.0,1307.0,Rifle,4.41637470035036
FAMAS | Valence (Well-Worn),法玛斯 | 元素轮廓 (破损不堪),法玛斯 | 元素轮廓,2.83,1.0,12.5,12.4,23.0,Rifle,4.41696113074205
StatTrak™ AUG | Stymphalian (Field-Tested),AUG（StatTrak™） | 湖怪鸟 (久经沙场),AUG（StatTrak™） | 湖怪鸟,3.62,1.0,15.99,15.89,348.0,Rifle,4.417127071823204
★ StatTrak™ Butterfly Knife | Slaughter (Factory New),蝴蝶刀（★ StatTrak™） | 屠夫 (崭新出厂),蝴蝶刀（★ StatTrak™） | 屠夫,2116.59,6.0,9350.0,9349.5,25.0,Knife,4.417482837961059
USP-S | Cortex (Well-Worn),USP 消音版 | 脑洞大开 (破损不堪),USP 消音版 | 脑洞大开,2.58,31.0,11.4,11.3,691.0,Pistol,4.4186046511627906
★ Hand Wraps | Badlands (Field-Tested),裹手（★） | 恶土 (久经沙场),裹手（★） | 恶土,176.25,2.0,778.88,778.38,142.0,Gloves,4.419177304964539
AUG | Syd Mead (Field-Tested),AUG | 席德.米德 (久经沙场),AUG | 席德.米德,2.76,4.0,12.2,12.2,751.0,Rifle,4.420289855072464
M4A4 | The Coalition (Well-Worn),M4A4 | 合纵 (破损不堪),M4A4 | 合纵,14.0,2.0,61.89,61.79,370.0,Rifle,4.420714285714285
StatTrak™ MP9 | Goo (Minimal Wear),MP9（StatTrak™） | 焦油缠绕 (略有磨损),MP9（StatTrak™） | 焦油缠绕,2.02,8.0,8.93,8.92,194.0,SMG,4.420792079207921
★ Butterfly Knife | Gamma Doppler (Factory New),蝴蝶刀（★） | 伽玛多普勒 (崭新出厂),蝴蝶刀（★） | 伽玛多普勒,2273.18,22.0,10050.0,10049.5,432.0,Knife,4.421119313032844
★ M9 Bayonet | Doppler (Factory New),M9 刺刀（★） | 多普勒 (崭新出厂),M9 刺刀（★） | 多普勒,1171.95,20.0,5181.5,5181.0,1014.0,Knife,4.421263705789496
★ StatTrak™ M9 Bayonet | Autotronic (Minimal Wear),M9 刺刀（★ StatTrak™） | 自动化 (略有磨损),M9 刺刀（★ StatTrak™） | 自动化,1538.02,4.0,6800.0,6799.5,18.0,Knife,4.4212689041754984
M4A1-S | Cyrex (Field-Tested),M4A1 消音型 | 次时代 (久经沙场),M4A1 消音型 | 次时代,18.56,1.0,82.06,81.96,1167.0,Rifle,4.4213362068965525
M4A1-S | Cyrex (Field-Tested),M4A1 消音型 | 次时代 (久经沙场),M4A1 消音型 | 次时代,18.56,1.0,82.06,81.96,1166.0,Rifle,4.4213362068965525
M4A1-S | Basilisk (Factory New),M4A1 消音型 | 翼蜥 (崭新出厂),M4A1 消音型 | 翼蜥,13.34,20.0,59.0,58.9,430.0,Rifle,4.422788605697152
StatTrak™ Nova | Windblown (Factory New),新星（StatTrak™） | 随风 (崭新出厂),新星（StatTrak™） | 随风,1.65,7.0,7.3,7.29,304.0,Shotgun,4.424242424242425
★ Sport Gloves | Slingshot (Minimal Wear),运动手套（★） | 弹弓 (略有磨损),运动手套（★） | 弹弓,2780.0,20.0,12300.0,12299.5,227.0,Gloves,4.424460431654676
MP9 | Green Plaid (Factory New),MP9 | 绿色格纹 (崭新出厂),MP9 | 绿色格纹,3.18,1.0,14.07,13.97,25.0,SMG,4.4245283018867925
★ StatTrak™ Butterfly Knife | Tiger Tooth (Factory New),蝴蝶刀（★ StatTrak™） | 虎牙 (崭新出厂),蝴蝶刀（★ StatTrak™） | 虎牙,2112.78,5.0,9349.0,9348.5,39.0,Knife,4.424975624532606
StatTrak™ Negev | dev_texture (Minimal Wear),内格夫（StatTrak™） | 橙灰之名 (略有磨损),内格夫（StatTrak™） | 橙灰之名,1.6,7.0,7.08,7.07,182.0,Machinegun,4.425
AUG | Stymphalian (Battle-Scarred),AUG | 湖怪鸟 (战痕累累),AUG | 湖怪鸟,2.16,1.0,9.56,9.55,78.0,Rifle,4.425925925925926
PP-Bizon | Space Cat (Factory New),PP-野牛 | 太空猫 (崭新出厂),PP-野牛 | 太空猫,1.8,5.0,7.97,7.96,967.0,SMG,4.427777777777777
StatTrak™ MAC-10 | Ensnared (Factory New),MAC-10（StatTrak™） | 坐牢 (崭新出厂),MAC-10（StatTrak™） | 坐牢,2.59,1.0,11.47,11.37,157.0,SMG,4.428571428571429
★ StatTrak™ Butterfly Knife | Black Laminate (Minimal Wear),蝴蝶刀（★ StatTrak™） | 黑色层压板 (略有磨损),蝴蝶刀（★ StatTrak™） | 黑色层压板,1693.29,2.0,7500.0,7221.11,10.0,Knife,4.429247205145014
Galil AR | Eco (Field-Tested),加利尔 AR | 经济 (久经沙场),加利尔 AR | 经济,5.87,3.0,26.0,25.9,2350.0,Rifle,4.429301533219761
MP7 | Powercore (Factory New),MP7 | 权力之心 (崭新出厂),MP7 | 权力之心,3.47,1.0,15.37,15.27,133.0,SMG,4.429394812680115
AWP | PAW (Minimal Wear),AWP | 猫猫狗狗 (略有磨损),AWP | 猫猫狗狗,4.71,15.0,20.88,20.78,3124.0,Sniper Rifle,4.43312101910828
★ StatTrak™ Butterfly Knife | Bright Water (Field-Tested),蝴蝶刀（★ StatTrak™） | 澄澈之水 (久经沙场),蝴蝶刀（★ StatTrak™） | 澄澈之水,1341.89,2.0,5948.9,5948.4,30.0,Knife,4.433224779974513
StatTrak™ FAMAS | ZX Spectron (Well-Worn),法玛斯（StatTrak™） | ZX81 彩色 (破损不堪),法玛斯（StatTrak™） | ZX81 彩色,2.93,1.0,12.99,12.89,65.0,Rifle,4.433447098976109
StatTrak™ Glock-18 | Sacrifice (Minimal Wear),格洛克 18 型（StatTrak™） | 烈焰天使 (略有磨损),格洛克 18 型（StatTrak™） | 烈焰天使,1.96,6.0,8.69,8.68,221.0,Pistol,4.433673469387755
Glock-18 | Groundwater (Field-Tested),格洛克 18 型 | 地下水 (久经沙场),格洛克 18 型 | 地下水,5.81,4.0,25.76,25.66,49.0,Pistol,4.433734939759037
StatTrak™ Nova | Hyper Beast (Minimal Wear),新星（StatTrak™） | 暴怒野兽 (略有磨损),新星（StatTrak™） | 暴怒野兽,43.3,1.0,192.0,191.5,40.0,Shotgun,4.43418013856813
StatTrak™ USP-S | Black Lotus (Field-Tested),USP 消音版（StatTrak™） | 黑莲花 (久经沙场),USP 消音版（StatTrak™） | 黑莲花,3.43,8.0,15.21,15.11,430.0,Pistol,4.4344023323615165
StatTrak™ P250 | Visions (Minimal Wear),P250（StatTrak™） | 迷人幻象 (略有磨损),P250（StatTrak™） | 迷人幻象,21.85,14.0,96.9,96.8,115.0,Pistol,4.434782608695652
StatTrak™ AK-47 | Ice Coaled (Battle-Scarred),AK-47（StatTrak™） | 可燃冰 (战痕累累),AK-47（StatTrak™） | 可燃冰,23.0,1.0,102.0,101.5,57.0,Rifle,4.434782608695652
★ StatTrak™ Karambit | Autotronic (Field-Tested),爪子刀（★ StatTrak™） | 自动化 (久经沙场),爪子刀（★ StatTrak™） | 自动化,1533.17,23.0,6799.5,6731.5,22.0,Knife,4.4349289380825345
StatTrak™ P250 | Hive (Field-Tested),P250（StatTrak™） | 红巢 (久经沙场),P250（StatTrak™） | 红巢,5.19,1.0,23.02,22.92,27.0,Pistol,4.435452793834297
AK-47 | Ice Coaled (Well-Worn),AK-47 | 可燃冰 (破损不堪),AK-47 | 可燃冰,17.54,66.0,77.8,77.7,147.0,Rifle,4.43557582668187
StatTrak™ CZ75-Auto | Circaetus (Factory New),CZ75（StatTrak™） | 短趾雕 (崭新出厂),CZ75（StatTrak™） | 短趾雕,2.02,2.0,8.96,8.95,87.0,Pistol,4.435643564356436
★ Karambit | Gamma Doppler (Factory New),爪子刀（★） | 伽玛多普勒 (崭新出厂),爪子刀（★） | 伽玛多普勒,1670.4,6.0,7410.0,7409.5,623.0,Knife,4.436063218390804
★ Karambit | Gamma Doppler (Factory New),爪子刀（★） | 伽玛多普勒 (崭新出厂),爪子刀（★） | 伽玛多普勒,1670.4,6.0,7410.0,7409.5,623.0,Knife,4.436063218390804
★ StatTrak™ M9 Bayonet | Doppler (Factory New),M9 刺刀（★ StatTrak™） | 多普勒 (崭新出厂),M9 刺刀（★ StatTrak™） | 多普勒,1171.95,6.0,5199.0,5198.5,138.0,Knife,4.436196083450659
AK-47 | Elite Build (Minimal Wear),AK-47 | 精英之作 (略有磨损),AK-47 | 精英之作,2.98,44.0,13.22,13.12,6729.0,Rifle,4.436241610738255
P90 | Vent Rush (Minimal Wear),P90 | 给爷冲 (略有磨损),P90 | 给爷冲,2.45,3.0,10.87,10.77,789.0,SMG,4.4367346938775505
PP-Bizon | High Roller (Well-Worn),PP-野牛 | 买定离手 (破损不堪),PP-野牛 | 买定离手,2.7,1.0,11.98,11.88,61.0,SMG,4.437037037037037
Glock-18 | Snack Attack (Field-Tested),格洛克 18 型 | 零食派对 (久经沙场),格洛克 18 型 | 零食派对,4.71,2.0,20.9,20.8,596.0,Pistol,4.437367303609341
FAMAS | Rapid Eye Movement (Field-Tested),法玛斯 | 目皆转睛 (久经沙场),法玛斯 | 目皆转睛,2.83,24.0,12.56,12.46,612.0,Rifle,4.438162544169612
MP9 | Rose Iron (Minimal Wear),MP9 | 铁血玫瑰 (略有磨损),MP9 | 铁血玫瑰,7.57,1.0,33.6,33.5,241.0,SMG,4.438573315719947
★ Moto Gloves | Polygon (Field-Tested),摩托手套（★） | 多边形 (久经沙场),摩托手套（★） | 多边形,288.1,7.0,1279.0,1278.5,420.0,Gloves,4.43943075321069
★ Moto Gloves | Smoke Out (Field-Tested),摩托手套（★） | 小心烟雾弹 (久经沙场),摩托手套（★） | 小心烟雾弹,309.72,79.0,1375.0,1374.5,547.0,Gloves,4.439493736277928
StatTrak™ Galil AR | Connexion (Minimal Wear),加利尔 AR（StatTrak™） | 凤凰商号 (略有磨损),加利尔 AR（StatTrak™） | 凤凰商号,2.34,1.0,10.39,10.29,165.0,Rifle,4.44017094017094
★ Butterfly Knife | Night (Field-Tested),蝴蝶刀（★） | 噩梦之夜 (久经沙场),蝴蝶刀（★） | 噩梦之夜,1015.12,8.0,4507.5,4507.0,245.0,Knife,4.440361730632832
StatTrak™ AK-47 | Ice Coaled (Field-Tested),AK-47（StatTrak™） | 可燃冰 (久经沙场),AK-47（StatTrak™） | 可燃冰,32.79,48.0,145.6,145.1,688.0,Rifle,4.440378164074413
AK-47 | Case Hardened (Field-Tested),AK-47 | 表面淬火 (久经沙场),AK-47 | 表面淬火,263.47,8.0,1170.0,1169.5,1522.0,Rifle,4.440733290317683
PP-Bizon | High Roller (Field-Tested),PP-野牛 | 买定离手 (久经沙场),PP-野牛 | 买定离手,3.13,2.0,13.9,13.9,435.0,SMG,4.440894568690096
AUG | Radiation Hazard (Factory New),AUG | 辐射危机 (崭新出厂),AUG | 辐射危机,1.88,4.0,8.35,8.34,160.0,Rifle,4.441489361702128
★ StatTrak™ Butterfly Knife | Gamma Doppler (Factory New),蝴蝶刀（★ StatTrak™） | 伽玛多普勒 (崭新出厂),蝴蝶刀（★ StatTrak™） | 伽玛多普勒,2273.18,6.0,10099.0,10098.5,81.0,Knife,4.442675019136188
FAMAS | Mecha Industries (Well-Worn),法玛斯 | 机械工业 (破损不堪),法玛斯 | 机械工业,3.86,1.0,17.15,17.05,23.0,Rifle,4.44300518134715
M4A1-S | Night Terror (Well-Worn),M4A1 消音型 | 夜无眠 (破损不堪),M4A1 消音型 | 夜无眠,2.61,6.0,11.6,11.5,362.0,Rifle,4.444444444444445
★ Butterfly Knife | Lore (Field-Tested),蝴蝶刀（★） | 传说 (久经沙场),蝴蝶刀（★） | 传说,2760.0,43.0,12268.0,12267.5,138.0,Knife,4.444927536231884
StatTrak™ MP9 | Airlock (Well-Worn),MP9（StatTrak™） | 气密 (破损不堪),MP9（StatTrak™） | 气密,3.82,2.0,16.98,16.88,10.0,SMG,4.445026178010472
StatTrak™ Galil AR | Chromatic Aberration (Minimal Wear),加利尔 AR（StatTrak™） | 迷人眼 (略有磨损),加利尔 AR（StatTrak™） | 迷人眼,11.92,2.0,53.0,52.9,169.0,Rifle,4.446308724832215
StatTrak™ SSG 08 | Ghost Crusader (Well-Worn),SSG 08（StatTrak™） | 幽灵战士 (破损不堪),SSG 08（StatTrak™） | 幽灵战士,1.77,2.0,7.87,7.86,65.0,Sniper Rifle,4.446327683615819
StatTrak™ Five-SeveN | Retrobution (Minimal Wear),FN57（StatTrak™） | 朝枪夕拾 (略有磨损),FN57（StatTrak™） | 朝枪夕拾,4.77,1.0,21.21,21.2,117.0,Pistol,4.446540880503146
M4A1-S | Player Two (Minimal Wear),M4A1 消音型 | 二号玩家 (略有磨损),M4A1 消音型 | 二号玩家,63.86,33.0,284.0,283.5,1386.0,Rifle,4.447228311932352
★ StatTrak™ Nomad Knife | Stained (Field-Tested),流浪者匕首（★ StatTrak™） | 人工染色 (久经沙场),流浪者匕首（★ StatTrak™） | 人工染色,409.09,1.0,1819.5,1819.0,16.0,Knife,4.447676550392335
StatTrak™ AUG | Triqua (Factory New),AUG（StatTrak™） | 三角战术 (崭新出厂),AUG（StatTrak™） | 三角战术,2.9,1.0,12.9,12.8,126.0,Rifle,4.448275862068966
StatTrak™ P90 | Blind Spot (Field-Tested),P90（StatTrak™） | 盲点 (久经沙场),P90（StatTrak™） | 盲点,10.86,1.0,48.31,48.21,84.0,SMG,4.448434622467772
AK-47 | Nightwish (Field-Tested),AK-47 | 夜愿 (久经沙场),AK-47 | 夜愿,31.47,26.0,140.0,139.5,2948.0,Rifle,4.448681283762314
★ StatTrak™ Butterfly Knife | Fade (Factory New),蝴蝶刀（★ StatTrak™） | 渐变之色 (崭新出厂),蝴蝶刀（★ StatTrak™） | 渐变之色,3870.0,62.0,17219.0,17218.5,84.0,Knife,4.449354005167959
AK-47 | Neon Revolution (Minimal Wear),AK-47 | 霓虹革命 (略有磨损),AK-47 | 霓虹革命,36.29,9.0,161.5,161.0,938.0,Rifle,4.450261780104712
StatTrak™ XM1014 | Ziggy (Minimal Wear),XM1014（StatTrak™） | 五彩斑驳 (略有磨损),XM1014（StatTrak™） | 五彩斑驳,1.91,3.0,8.5,8.49,135.0,Shotgun,4.450261780104713
P250 | Mehndi (Factory New),P250 | 曼海蒂 (崭新出厂),P250 | 曼海蒂,30.89,1.0,137.47,136.97,62.0,Pistol,4.450307542894141
'Medium Rare' Crasswater | Guerrilla Warfare,克拉斯沃特（三分熟） | 游击队,克拉斯沃特（三分熟） | 游击队,11.21,26.0,49.9,49.8,524.0,Agent,4.451382694023193
M4A1-S | Decimator (Minimal Wear),M4A1 消音型 | 毁灭者 2000 (略有磨损),M4A1 消音型 | 毁灭者 2000,18.42,76.0,82.0,81.9,2045.0,Rifle,4.451682953311617
StatTrak™ USP-S | Lead Conduit (Well-Worn),USP 消音版（StatTrak™） | 铅管 (破损不堪),USP 消音版（StatTrak™） | 铅管,2.28,1.0,10.15,10.05,108.0,Pistol,4.451754385964913
Galil AR | Dusk Ruins (Field-Tested),加利尔 AR | 废墟黄昏 (久经沙场),加利尔 AR | 废墟黄昏,7.57,3.0,33.7,33.6,31.0,Rifle,4.4517833553500665
★ Karambit | Doppler (Factory New),爪子刀（★） | 多普勒 (崭新出厂),爪子刀（★） | 多普勒,1432.3,33.0,6377.5,6377.0,1202.0,Knife,4.452628639251554
★ Karambit | Doppler (Factory New),爪子刀（★） | 多普勒 (崭新出厂),爪子刀（★） | 多普勒,1432.3,33.0,6377.5,6377.0,1202.0,Knife,4.452628639251554
Dual Berettas | Briar (Field-Tested),双持贝瑞塔 | 蔷薇 (久经沙场),双持贝瑞塔 | 蔷薇,2.54,1.0,11.31,11.21,15.0,Pistol,4.452755905511811
★ StatTrak™ Skeleton Knife,骷髅匕首（★ StatTrak™）,骷髅匕首（★ StatTrak™）,1267.13,1.0,5643.5,5643.0,45.0,Knife,4.453765596268733
AWP | Acheron (Well-Worn),AWP | 冥界之河 (破损不堪),AWP | 冥界之河,2.29,2.0,10.2,10.1,50.0,Sniper Rifle,4.45414847161572
StatTrak™ MAC-10 | Button Masher (Minimal Wear),MAC-10（StatTrak™） | 战争手柄 (略有磨损),MAC-10（StatTrak™） | 战争手柄,1.54,6.0,6.86,6.85,128.0,SMG,4.454545454545455
M4A4 | Neo-Noir (Battle-Scarred),M4A4 | 黑色魅影 (战痕累累),M4A4 | 黑色魅影,5.63,3.0,25.08,24.98,705.0,Rifle,4.4547069271758435
AK-47 | Phantom Disruptor (Minimal Wear),AK-47 | 幻影破坏者 (略有磨损),AK-47 | 幻影破坏者,10.84,6.0,48.29,48.19,2145.0,Rifle,4.454797047970479
MP7 | Special Delivery (Field-Tested),MP7 | 速递 (久经沙场),MP7 | 速递,1.67,1.0,7.44,7.43,203.0,SMG,4.455089820359282
MP5-SD | Phosphor (Well-Worn),MP5-SD | 磷光体 (破损不堪),MP5-SD | 磷光体,5.2,1.0,23.17,23.07,11.0,SMG,4.455769230769231
Sawed-Off | Kiss♥Love (Battle-Scarred),截短霰弹枪 | 么么 (战痕累累),截短霰弹枪 | 么么,5.79,1.0,25.8,25.7,655.0,Shotgun,4.455958549222798
AK-47 | Neon Revolution (Field-Tested),AK-47 | 霓虹革命 (久经沙场),AK-47 | 霓虹革命,22.93,20.0,102.2,101.7,1670.0,Rifle,4.45704317488007
Lieutenant 'Tree Hugger' Farlow | SWAT,中尉法洛（抱树人） | 特警,中尉法洛（抱树人） | 特警,6.06,1.0,27.01,26.91,267.0,Agent,4.457095709570957
AWP | Neo-Noir (Factory New),AWP | 黑色魅影 (崭新出厂),AWP | 黑色魅影,56.09,15.0,250.0,249.5,2202.0,Sniper Rifle,4.457122481725798
★ StatTrak™ Karambit | Black Laminate (Field-Tested),爪子刀（★ StatTrak™） | 黑色层压板 (久经沙场),爪子刀（★ StatTrak™） | 黑色层压板,1183.26,19.0,5274.9,5274.4,17.0,Knife,4.457938238426043
★ Sport Gloves | Vice (Minimal Wear),运动手套（★） | 迈阿密风云 (略有磨损),运动手套（★） | 迈阿密风云,6570.0,1.0,29290.0,29289.5,557.0,Gloves,4.4581430745814306
StatTrak™ Nova | Wild Six (Minimal Wear),新星（StatTrak™） | 狂野六号 (略有磨损),新星（StatTrak™） | 狂野六号,1.59,6.0,7.09,7.08,162.0,Shotgun,4.459119496855346
★ Moto Gloves | Smoke Out (Factory New),摩托手套（★） | 小心烟雾弹 (崭新出厂),摩托手套（★） | 小心烟雾弹,2890.0,20.0,12888.88,12749.52,5.0,Gloves,4.459820069204152
★ Bayonet | Lore (Factory New),刺刀（★） | 传说 (崭新出厂),刺刀（★） | 传说,1535.71,42.0,6849.0,6848.5,35.0,Knife,4.459826399515533
FAMAS | Night Borre (Minimal Wear),法玛斯 | 暗夜锁链 (略有磨损),法玛斯 | 暗夜锁链,2.95,1.0,13.16,13.06,56.0,Rifle,4.461016949152542
Tec-9 | Brass (Minimal Wear),Tec-9 | 黄铜 (略有磨损),Tec-9 | 黄铜,3.34,1.0,14.9,14.8,28.0,Pistol,4.461077844311378
USP-S | Cortex (Field-Tested),USP 消音版 | 脑洞大开 (久经沙场),USP 消音版 | 脑洞大开,3.09,80.0,13.79,13.69,4822.0,Pistol,4.4627831715210355
P250 | Wingshot (Minimal Wear),P250 | 翼击 (略有磨损),P250 | 翼击,2.7,2.0,12.05,11.95,313.0,Pistol,4.462962962962963
M4A1-S | Blue Phosphor (Minimal Wear),M4A1 消音型 | 澜磷 (略有磨损),M4A1 消音型 | 澜磷,367.31,14.0,1639.5,1639.0,17.0,Rifle,4.4635321662900544
M249 | Downtown (Field-Tested),M249 | 闹市区 (久经沙场),M249 | 闹市区,1.38,67.0,6.16,6.15,1477.0,Machinegun,4.463768115942029
★ StatTrak™ Karambit,爪子刀（★ StatTrak™）,爪子刀（★ StatTrak™）,1493.13,18.0,6666.0,6665.5,31.0,Knife,4.464447168029575
★ Butterfly Knife | Ultraviolet (Field-Tested),蝴蝶刀（★） | 致命紫罗兰 (久经沙场),蝴蝶刀（★） | 致命紫罗兰,1109.76,3.0,4955.0,4954.5,278.0,Knife,4.464929354094579
★ StatTrak™ M9 Bayonet | Black Laminate (Minimal Wear),M9 刺刀（★ StatTrak™） | 黑色层压板 (略有磨损),M9 刺刀（★ StatTrak™） | 黑色层压板,1036.44,2.0,4628.0,4627.5,23.0,Knife,4.465285014086681
★ Specialist Gloves | Field Agent (Factory New),专业手套（★） | 一线特工 (崭新出厂),专业手套（★） | 一线特工,4210.0,23.0,18800.0,18063.67,8.0,Gloves,4.465558194774347
AK-47 | Point Disarray (Factory New),AK-47 | 混沌点阵 (崭新出厂),AK-47 | 混沌点阵,36.03,8.0,161.0,160.5,766.0,Rifle,4.46849847349431
Desert Eagle | Kumicho Dragon (Field-Tested),沙漠之鹰 | 大佬龙 (久经沙场),沙漠之鹰 | 大佬龙,17.32,1.0,77.4,77.3,697.0,Pistol,4.468822170900693
AUG | Carved Jade (Factory New),AUG | 璞玉 (崭新出厂),AUG | 璞玉,8.88,1.0,39.69,39.59,664.0,Rifle,4.469594594594594
Desert Eagle | Ocean Drive (Field-Tested),沙漠之鹰 | 纵横波涛 (久经沙场),沙漠之鹰 | 纵横波涛,28.19,1.0,126.0,125.5,778.0,Pistol,4.469670095778644
StatTrak™ UMP-45 | Exposure (Minimal Wear),UMP-45（StatTrak™） | 曝光 (略有磨损),UMP-45（StatTrak™） | 曝光,1.98,5.0,8.85,8.84,116.0,SMG,4.46969696969697
StatTrak™ P250 | Visions (Field-Tested),P250（StatTrak™） | 迷人幻象 (久经沙场),P250（StatTrak™） | 迷人幻象,11.32,1.0,50.6,50.5,166.0,Pistol,4.469964664310954
★ StatTrak™ Navaja Knife,折刀（★ StatTrak™）,折刀（★ StatTrak™）,153.32,1.0,685.4,684.9,24.0,Knife,4.4703887294547355
XM1014 | XOXO (Battle-Scarred),XM1014 | 要抱抱 (战痕累累),XM1014 | 要抱抱,2.08,5.0,9.3,9.29,196.0,Shotgun,4.471153846153847
StatTrak™ M4A1-S | Flashback (Well-Worn),M4A1 消音型（StatTrak™） | 闪回 (破损不堪),M4A1 消音型（StatTrak™） | 闪回,4.9,3.0,21.91,21.81,93.0,Rifle,4.4714285714285715
AK-47 | Fire Serpent (Minimal Wear),AK-47 | 火蛇 (略有磨损),AK-47 | 火蛇,1575.74,1.0,7050.0,7049.5,475.0,Rifle,4.474088364831761
